Date [mm/dd/yyyy], Time [HH:MM:SS.ZZ], Latitude [deg], Longitude [deg]
7/14/2021,22:8:54.0,37.79320567,-122.41946550
7/14/2021,22:8:54.0,37.79320567,-122.41946550
7/14/2021,22:8:55.0,37.79323917,-122.41946433
7/14/2021,22:8:55.0,37.79323917,-122.41946433
7/14/2021,22:8:56.0,37.79327233,-122.41946317
7/14/2021,22:8:56.0,37.79327233,-122.41946317
7/14/2021,22:8:57.0,37.79329167,-122.41946050
7/14/2021,22:8:57.0,37.79329167,-122.41946050
7/14/2021,22:8:57.0,37.79329167,-122.41946050
7/14/2021,22:8:58.0,37.79332400,-122.41946183
7/14/2021,22:8:58.0,37.79332400,-122.41946183
7/14/2021,22:8:59.0,37.79334667,-122.41946150
7/14/2021,22:8:59.0,37.79334667,-122.41946150
7/14/2021,22:9:0.0,37.79338167,-122.41946567
7/14/2021,22:9:0.0,37.79338167,-122.41946567
7/14/2021,22:9:1.0,37.79340217,-122.41946850
7/14/2021,22:9:1.0,37.79340217,-122.41946850
7/14/2021,22:9:2.0,37.79343283,-122.41947183
7/14/2021,22:9:2.0,37.79343283,-122.41947183
7/14/2021,22:9:3.0,37.79345050,-122.41946983
7/14/2021,22:9:3.0,37.79345050,-122.41946983
7/14/2021,22:9:4.0,37.79348083,-122.41946467
7/14/2021,22:9:4.0,37.79348083,-122.41946467
7/14/2021,22:9:5.0,37.79350300,-122.41946233
7/14/2021,22:9:5.0,37.79350300,-122.41946233
7/14/2021,22:9:6.0,37.79354483,-122.41946583
7/14/2021,22:9:6.0,37.79354483,-122.41946583
7/14/2021,22:9:7.0,37.79356867,-122.41947183
7/14/2021,22:9:7.0,37.79356867,-122.41947183
7/14/2021,22:9:8.0,37.79360717,-122.41948117
7/14/2021,22:9:8.0,37.79360717,-122.41948117
7/14/2021,22:9:9.0,37.79363383,-122.41948450
7/14/2021,22:9:9.0,37.79363383,-122.41948450
7/14/2021,22:9:10.0,37.79366900,-122.41948417
7/14/2021,22:9:10.0,37.79366900,-122.41948417
